0,1,2,3,4,5,6,7,8,9,10
fruit/vegetable juice,pastry,,,,,,,,,
whole milk,ice cream,,,,,,,,,
dessert,domestic eggs,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
hamburger meat,dessert,sliced cheese,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
sausage,bottled beer,photo/film,margarine,whipped/sour cream,,,,,,
root vegetables,flower (seeds),,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,hygiene articles,,,,,,,,,
other vegetables,other vegetables,butter,,,,,,,,
brown bread,long life bakery product,,,,,,,,,
female sanitary products,frozen fish,,,,,,,,,
chicken,pastry,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
canned beer,shopping bags,rolls/buns,yogurt,butter milk,,,,,,
flower (seeds),flower (seeds),,,,,,,,,
beef,condensed milk,specialty chocolate,,,,,,,,
chicken,organic products,,,,,,,,,
root vegetables,rolls/buns,fruit/vegetable juice,,,,,,,,
whole milk,cat food,,,,,,,,,
dessert,dental care,,,,,,,,,
citrus fruit,dog food,rolls/buns,soda,whole milk,fruit/vegetable juice,whipped/sour cream,yogurt,,,
frozen meals,bottled beer,root vegetables,potato products,,,,,,,
beef,waffles,,,,,,,,,
tropical fruit,hamburger meat,coffee,sliced cheese,whipped/sour cream,,,,,,
hard cheese,canned beer,,,,,,,,,
meat,other vegetables,zwieback,,,,,,,,
pip fruit,butter,whole milk,other vegetables,,,,,,,
coffee,whipped/sour cream,,,,,,,,,
rolls/buns,soda,,,,,,,,,
rolls/buns,soda,citrus fruit,spread cheese,,,,,,,
canned beer,frozen meals,pastry,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
fruit/vegetable juice,roll products ,,,,,,,,,
dishes,rolls/buns,,,,,,,,,
frozen meals,whole milk,fruit/vegetable juice,butter,chocolate,bottled water,,,,,
seasonal products,pickled vegetables,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
white bread,mayonnaise,,,,,,,,,
meat,ice cream,,,,,,,,,
chicken,pastry,,,,,,,,,
other vegetables,beverages,,,,,,,,,
tropical fruit,curd,,,,,,,,,
bottled water,bottled water,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
chicken,white bread,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
misc. beverages,salty snack,,,,,,,,,
candy,pot plants,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
rolls/buns,bottled water,other vegetables,finished products,other vegetables,butter,yogurt,rolls/buns,citrus fruit,,
mustard,whole milk,tropical fruit,whole milk,,,,,,,
hamburger meat,pastry,,,,,,,,,
ice cream,onions,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
sliced cheese,chocolate,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
pip fruit,canned beer,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
butter milk,whole milk,,,,,,,,,
sausage,sliced cheese,ice cream,long life bakery product,,,,,,,
rolls/buns,dental care,,,,,,,,,
margarine,detergent,yogurt,zwieback,,,,,,,
sausage,whole milk,,,,,,,,,
bottled water,beef,,,,,,,,,
pastry,bottled water,,,,,,,,,
coffee,dishes,,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
soda,bottled water,seasonal products,,,,,,,,
soap,berries,,,,,,,,,
chicken,hamburger meat,shopping bags,,,,,,,,
condensed milk,bottled water,bottled beer,,,,,,,,
sausage,onions,mustard,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pork,pudding powder,domestic eggs,,,,,,,,
soda,beverages,rolls/buns,curd,,,,,,,
frankfurter,bottled water,,,,,,,,,
chicken,napkins,other vegetables,newspapers,,,,,,,
frozen potato products,chewing gum,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
brown bread,pastry,,,,,,,,,
other vegetables,margarine,,,,,,,,,
grapes,whipped/sour cream,dishes,,,,,,,,
sausage,coffee,female sanitary products,,,,,,,,
ham,rolls/buns,flower (seeds),,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
specialty cheese,butter,,,,,,,,,
sausage,pip fruit,,,,,,,,,
soda,other vegetables,dishes,,,,,,,,
beef,yogurt,,,,,,,,,
pork,canned beer,prosecco,fruit/vegetable juice,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
white bread,salty snack,,,,,,,,,
berries,root vegetables,,,,,,,,,
pastry,sliced cheese,,,,,,,,,
candy,soda,,,,,,,,,
coffee,butter,whipped/sour cream,other vegetables,,,,,,,
canned beer,salty snack,soda,,,,,,,,
liquor,whole milk,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
other vegetables,tidbits,dental care,,,,,,,,
pork,white bread,waffles,,,,,,,,
frankfurter,beverages,,,,,,,,,
turkey,ham,whole milk,citrus fruit,pastry,soda,,,,,
hygiene articles,napkins,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
soda,pastry,frozen vegetables,UHT-milk,,,,,,,
pork,processed cheese,,,,,,,,,
specialty chocolate,turkey,canned beer,soda,dental care,,,,,,
soda,canned beer,,,,,,,,,
canned beer,ham,bottled water,domestic eggs,,,,,,,
bottled beer,ice cream,pastry,red/blush wine,,,,,,,
chicken,curd,,,,,,,,,
whole milk,sauces,,,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
tropical fruit,whole milk,dish cleaner,yogurt,newspapers,,,,,,
whole milk,domestic eggs,chocolate marshmallow,,,,,,,,
whole milk,other vegetables,red/blush wine,coffee,other vegetables,bottled water,bottled water,sugar,,,
citrus fruit,specialty bar,,,,,,,,,
misc. beverages,sliced cheese,domestic eggs,,,,,,,,
butter,domestic eggs,,,,,,,,,
mustard,soda,,,,,,,,,
condensed milk,butter,,,,,,,,,
rolls/buns,shopping bags,cat food,,,,,,,,
soft cheese,frozen vegetables,cream cheese ,,,,,,,,
soda,other vegetables,cream cheese ,,,,,,,,
other vegetables,pastry,shopping bags,,,,,,,,
sausage,curd,yogurt,,,,,,,,
turkey,white bread,,,,,,,,,
other vegetables,soda,soda,napkins,,,,,,,
citrus fruit,beef,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
beef,butter,chocolate,frozen meals,napkins,margarine,,,,,
UHT-milk,other vegetables,,,,,,,,,
soda,yogurt,,,,,,,,,
hamburger meat,bottled beer,brown bread,yogurt,,,,,,,
frankfurter,finished products,canned beer,hamburger meat,packaged fruit/vegetables,whipped/sour cream,curd,sweet spreads,white bread,,
root vegetables,shopping bags,frozen vegetables,,,,,,,,
sausage,other vegetables,,,,,,,,,
salty snack,white wine,,,,,,,,,
frankfurter,brown bread,whole milk,root vegetables,,,,,,,
other vegetables,soda,,,,,,,,,
rum,onions,,,,,,,,,
citrus fruit,shopping bags,shopping bags,,,,,,,,
canned beer,brown bread,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
sausage,candy,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
hard cheese,sugar,bottled water,,,,,,,,
sausage,tropical fruit,,,,,,,,,
hard cheese,processed cheese,,,,,,,,,
pip fruit,butter,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
butter,root vegetables,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
frankfurter,herbs,,,,,,,,,
hamburger meat,tropical fruit,whipped/sour cream,rolls/buns,,,,,,,
whole milk,other vegetables,,,,,,,,,
liver loaf,soda,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
waffles,semi-finished bread,,,,,,,,,
cereals,newspapers,,,,,,,,,
sausage,fruit/vegetable juice,bottled water,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
frozen vegetables,chocolate marshmallow,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
sausage,chocolate,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
other vegetables,berries,,,,,,,,,
chicken,dessert,,,,,,,,,
pork,specialty bar,soda,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
pork,rolls/buns,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
margarine,newspapers,,,,,,,,,
sausage,curd,margarine,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
other vegetables,skin care,domestic eggs,,,,,,,,
brown bread,sugar,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
ice cream,chewing gum,,,,,,,,,
soda,salt,,,,,,,,,
photo/film,grapes,,,,,,,,,
bottled water,whole milk,domestic eggs,domestic eggs,,,,,,,
other vegetables,curd,,,,,,,,,
berries,root vegetables,,,,,,,,,
whole milk,white bread,,,,,,,,,
other vegetables,butter milk,chewing gum,specialty chocolate,,,,,,,
canned beer,beverages,,,,,,,,,
fish,specialty chocolate,,,,,,,,,
finished products,spread cheese,,,,,,,,,
frankfurter,sugar,,,,,,,,,
chocolate marshmallow,soda,,,,,,,,,
ice cream,pip fruit,,,,,,,,,
curd,soft cheese,,,,,,,,,
fruit/vegetable juice,canned fish,light bulbs,long life bakery product,,,,,,,
onions,flour,,,,,,,,,
spices,cat food,seasonal products,,,,,,,,
canned beer,other vegetables,,,,,,,,,
frozen meals,rolls/buns,canned beer,coffee,soda,,,,,,
frankfurter,soda,other vegetables,rolls/buns,rolls/buns,,,,,,
chicken,rolls/buns,yogurt,pastry,,,,,,,
ham,brown bread,,,,,,,,,
rolls/buns,frozen vegetables,frozen vegetables,,,,,,,,
other vegetables,semi-finished bread,domestic eggs,newspapers,,,,,,,
meat,whole milk,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
other vegetables,dessert,,,,,,,,,
pot plants,dish cleaner,,,,,,,,,
whole milk,canned beer,,,,,,,,,
herbs,curd,,,,,,,,,
frankfurter,coffee,,,,,,,,,
hamburger meat,rolls/buns,pip fruit,berries,,,,,,,
soda,curd,flower (seeds),,,,,,,,
tropical fruit,butter milk,,,,,,,,,
sausage,pip fruit,bottled water,,,,,,,,
beef,white bread,frozen potato products,,,,,,,,
pastry,whipped/sour cream,pickled vegetables,,,,,,,,
meat,newspapers,cleaner,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
meat,whole milk,,,,,,,,,
frankfurter,hair spray,,,,,,,,,
cream cheese ,bottled water,,,,,,,,,
sausage,dessert,,,,,,,,,
meat,beverages,,,,,,,,,
rolls/buns,citrus fruit,fruit/vegetable juice,,,,,,,,
whole milk,dessert,,,,,,,,,
grapes,whole milk,,,,,,,,,
butter milk,bottled water,shopping bags,,,,,,,,
liquor,specialty chocolate,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
beef,curd,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
berries,shopping bags,,,,,,,,,
sausage,sugar,yogurt,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
waffles,shopping bags,soda,cream cheese ,,,,,,,
pastry,mustard,,,,,,,,,
whole milk,pastry,margarine,pastry,,,,,,,
sausage,pip fruit,,,,,,,,,
dessert,herbs,detergent,artif. sweetener,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
pip fruit,dessert,,,,,,,,,
frozen dessert,yogurt,,,,,,,,,
newspapers,processed cheese,,,,,,,,,
chocolate marshmallow,specialty chocolate,,,,,,,,,
rolls/buns,rolls/buns,sugar,,,,,,,,
salt,semi-finished bread,,,,,,,,,
sausage,salad dressing,,,,,,,,,
sausage,hard cheese,bottled beer,,,,,,,,
bottled beer,oil,whole milk,dishes,,,,,,,
specialty chocolate,root vegetables,,,,,,,,,
liquor (appetizer),cat food,,,,,,,,,
pork,whole milk,,,,,,,,,
frozen vegetables,red/blush wine,,,,,,,,,
citrus fruit,onions,salty snack,brown bread,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
sausage,yogurt,,,,,,,,,
chicken,whole milk,,,,,,,,,
candy,canned fish,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
hamburger meat,dessert,newspapers,,,,,,,,
other vegetables,herbs,,,,,,,,,
curd,brown bread,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
ham,salt,,,,,,,,,
pip fruit,pastry,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
meat,UHT-milk,,,,,,,,,
bottled water,other vegetables,pastry,rolls/buns,domestic eggs,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
tropical fruit,whole milk,rolls/buns,cream cheese ,whole milk,shopping bags,,,,,
frozen dessert,herbs,brown bread,,,,,,,,
dessert,frozen meals,,,,,,,,,
yogurt,canned beer,,,,,,,,,
onions,sauces,,,,,,,,,
margarine,sugar,,,,,,,,,
red/blush wine,pastry,,,,,,,,,
pip fruit,rolls/buns,fruit/vegetable juice,pasta,,,,,,,
soda,whipped/sour cream,,,,,,,,,
white wine,butter,frozen fish,,,,,,,,
meat,other vegetables,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
shopping bags,white wine,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,pasta,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
domestic eggs,coffee,pastry,,,,,,,,
sausage,coffee,,,,,,,,,
beef,roll products ,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
berries,dessert,dessert,,,,,,,,
pork,whole milk,,,,,,,,,
bottled water,chewing gum,beef,brown bread,,,,,,,
other vegetables,white bread,,,,,,,,,
tropical fruit,dessert,domestic eggs,,,,,,,,
other vegetables,dog food,,,,,,,,,
bottled beer,whole milk,salty snack,other vegetables,,,,,,,
rolls/buns,baby cosmetics,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
cream cheese ,soda,,,,,,,,,
meat,house keeping products,,,,,,,,,
domestic eggs,frozen fish,,,,,,,,,
meat,whole milk,brown bread,shopping bags,waffles,,,,,,
frankfurter,root vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
brown bread,hair spray,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
ice cream,root vegetables,hygiene articles,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
pickled vegetables,frozen vegetables,,,,,,,,,
frankfurter,other vegetables,whole milk,ready soups,brandy,,,,,,
tropical fruit,whole milk,chocolate,,,,,,,,
fish,canned beer,,,,,,,,,
bottled water,white bread,,,,,,,,,
soda,other vegetables,,,,,,,,,
chicken,canned beer,,,,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
cat food,pasta,,,,,,,,,
ham,whole milk,artif. sweetener,,,,,,,,
photo/film,canned beer,,,,,,,,,
onions,oil,,,,,,,,,
hard cheese,Instant food products,,,,,,,,,
pastry,Instant food products,,,,,,,,,
yogurt,rolls/buns,rolls/buns,,,,,,,,
whole milk,beef,,,,,,,,,
other vegetables,napkins,white wine,,,,,,,,
potato products,other vegetables,,,,,,,,,
bottled water,other vegetables,spread cheese,yogurt,specialty bar,,,,,,
beef,root vegetables,,,,,,,,,
sausage,processed cheese,baking powder,specialty cheese,,,,,,,
root vegetables,candy,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
sausage,other vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
white bread,red/blush wine,,,,,,,,,
whole milk,sugar,,,,,,,,,
whole milk,meat,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
pork,napkins,,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
soft cheese,frozen vegetables,,,,,,,,,
shopping bags,other vegetables,newspapers,domestic eggs,,,,,,,
whole milk,rolls/buns,herbs,beverages,soda,,,,,,
tropical fruit,herbs,long life bakery product,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
pastry,shopping bags,,,,,,,,,
white wine,canned vegetables,,,,,,,,,
whipped/sour cream,root vegetables,baking powder,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
sausage,frozen meals,soda,,,,,,,,
newspapers,soda,female sanitary products,,,,,,,,
butter,red/blush wine,,,,,,,,,
whole milk,canned beer,,,,,,,,,
soda,zwieback,pastry,,,,,,,,
whole milk,canned beer,,,,,,,,,
sausage,onions,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
other vegetables,abrasive cleaner,,,,,,,,,
other vegetables,other vegetables,liquor (appetizer),specialty bar,candles,red/blush wine,,,,,
butter,yogurt,,,,,,,,,
curd,dessert,cling film/bags,,,,,,,,
whole milk,pip fruit,frozen vegetables,soda,,,,,,,
whole milk,bottled beer,,,,,,,,,
beverages,hamburger meat,other vegetables,canned beer,,,,,,,
other vegetables,white bread,,,,,,,,,
sausage,bottled water,,,,,,,,,
rolls/buns,light bulbs,long life bakery product,,,,,,,,
tropical fruit,cake bar,chocolate,,,,,,,,
bottled water,other vegetables,light bulbs,,,,,,,,
other vegetables,napkins,newspapers,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
whole milk,sugar,whole milk,onions,processed cheese,pip fruit,whole milk,,,,
pastry,curd,bottled beer,,,,,,,,
meat,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,newspapers,,,,,,,,,
Instant food products,newspapers,,,,,,,,,
other vegetables,frankfurter,rolls/buns,coffee,ice cream,,,,,,
butter,soda,oil,,,,,,,,
chicken,roll products ,,,,,,,,,
whole milk,chocolate,rolls/buns,brown bread,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
canned beer,yogurt,soda,,,,,,,,
hamburger meat,rolls/buns,brown bread,,,,,,,,
whole milk,butter,shopping bags,,,,,,,,
whole milk,pastry,,,,,,,,,
sausage,pip fruit,chocolate,,,,,,,,
other vegetables,meat spreads,specialty cheese,,,,,,,,
pork,pastry,,,,,,,,,
sauces,herbs,,,,,,,,,
frankfurter,chicken,meat,bottled beer,other vegetables,pastry,misc. beverages,root vegetables,salt,,
fish,meat,,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
beef,pork,margarine,fruit/vegetable juice,margarine,,,,,,
soda,other vegetables,,,,,,,,,
soda,other vegetables,,,,,,,,,
domestic eggs,whole milk,onions,misc. beverages,,,,,,,
sausage,spread cheese,bottled water,,,,,,,,
turkey,root vegetables,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
pork,whole milk,,,,,,,,,
frankfurter,ice cream,mustard,soda,,,,,,,
bottled water,whole milk,,,,,,,,,
frankfurter,pork,sliced cheese,candy,pastry,shopping bags,,,,,
sauces,rolls/buns,soda,whipped/sour cream,,,,,,,
tropical fruit,cat food,,,,,,,,,
whole milk,salty snack,shopping bags,,,,,,,,
sausage,salty snack,brown bread,white bread,candles,,,,,,
other vegetables,whole milk,yogurt,hard cheese,bottled beer,,,,,,
packaged fruit/vegetables,fish,frozen meals,specialty chocolate,brown bread,,,,,,
waffles,beverages,waffles,curd,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
sausage,canned beer,rum,spices,,,,,,,
candles,chewing gum,,,,,,,,,
soda,shopping bags,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
specialty chocolate,pastry,,,,,,,,,
other vegetables,whole milk,rolls/buns,other vegetables,bottled water,whole milk,yogurt,other vegetables,,,
tropical fruit,soda,,,,,,,,,
pastry,cream cheese ,,,,,,,,,
soda,other vegetables,,,,,,,,,
beef,bottled beer,,,,,,,,,
pork,shopping bags,hygiene articles,,,,,,,,
butter,tropical fruit,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
beef,newspapers,,,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
bottled beer,sugar,popcorn,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
artif. sweetener,herbs,,,,,,,,,
pip fruit,root vegetables,root vegetables,beverages,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
sausage,sausage,canned beer,spices,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
other vegetables,pastry,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
butter,newspapers,,,,,,,,,
pastry,berries,,,,,,,,,
dessert,tropical fruit,,,,,,,,,
bottled water,yogurt,rolls/buns,newspapers,frozen dessert,rolls/buns,,,,,
coffee,white bread,,,,,,,,,
ham,citrus fruit,,,,,,,,,
canned beer,onions,,,,,,,,,
whipped/sour cream,canned fish,,,,,,,,,
ham,yogurt,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pork,curd,,,,,,,,,
frozen meals,canned beer,,,,,,,,,
turkey,shopping bags,,,,,,,,,
dessert,herbs,waffles,,,,,,,,
soda,berries,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
whole milk,yogurt,domestic eggs,newspapers,,,,,,,
meat,beverages,newspapers,candy,,,,,,,
brown bread,other vegetables,,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
white wine,beverages,,,,,,,,,
sausage,frozen vegetables,onions,canned beer,,,,,,,
berries,other vegetables,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
butter,shopping bags,,,,,,,,,
ham,pastry,,,,,,,,,
brown bread,pastry,,,,,,,,,
sausage,root vegetables,,,,,,,,,
yogurt,bottled water,,,,,,,,,
curd,chocolate,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
pork,bottled water,,,,,,,,,
beef,ice cream,rolls/buns,pip fruit,whole milk,fruit/vegetable juice,UHT-milk,,,,
long life bakery product,napkins,,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
chicken,whole milk,canned beer,,,,,,,,
beverages,whole milk,butter milk,fruit/vegetable juice,,,,,,,
chicken,house keeping products,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
long life bakery product,bottled water,,,,,,,,,
oil,butter,,,,,,,,,
turkey,yogurt,,,,,,,,,
bottled water,curd,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
sausage,pip fruit,,,,,,,,,
other vegetables,citrus fruit,whole milk,frankfurter,zwieback,other vegetables,domestic eggs,brown bread,sugar,,
yogurt,root vegetables,,,,,,,,,
beverages,jam,,,,,,,,,
berries,candy,rolls/buns,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
soft cheese,semi-finished bread,,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
frozen meals,butter,newspapers,yogurt,,,,,,,
pork,margarine,,,,,,,,,
soda,long life bakery product,pastry,,,,,,,,
yogurt,pasta,bottled water,,,,,,,,
salty snack,soups,brown bread,,,,,,,,
newspapers,other vegetables,yogurt,,,,,,,,
chicken,rolls/buns,,,,,,,,,
whole milk,sugar,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
citrus fruit,grapes,,,,,,,,,
butter milk,oil,,,,,,,,,
misc. beverages,curd,,,,,,,,,
napkins,chewing gum,,,,,,,,,
curd,pastry,,,,,,,,,
salty snack,kitchen towels,,,,,,,,,
cream cheese ,UHT-milk,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
yogurt,red/blush wine,margarine,,,,,,,,
cake bar,whipped/sour cream,,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
yogurt,pastry,,,,,,,,,
specialty cheese,brown bread,,,,,,,,,
rolls/buns,pet care,,,,,,,,,
margarine,soda,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
brown bread,tropical fruit,sugar,,,,,,,,
other vegetables,pork,herbs,oil,,,,,,,
berries,whole milk,,,,,,,,,
soda,rolls/buns,,,,,,,,,
male cosmetics,roll products ,pastry,,,,,,,,
meat,salt,,,,,,,,,
coffee,rolls/buns,other vegetables,,,,,,,,
whole milk,butter,,,,,,,,,
sausage,other vegetables,,,,,,,,,
pip fruit,sugar,frozen vegetables,,,,,,,,
hard cheese,dessert,,,,,,,,,
canned fish,shopping bags,,,,,,,,,
chicken,whole milk,,,,,,,,,
brown bread,whole milk,canned fish,brown bread,,,,,,,
turkey,chocolate,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
yogurt,margarine,long life bakery product,coffee,,,,,,,
newspapers,other vegetables,,,,,,,,,
sliced cheese,butter,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
pastry,soda,pastry,,,,,,,,
rolls/buns,chicken,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
ice cream,whole milk,margarine,whole milk,,,,,,,
frozen dessert,pastry,,,,,,,,,
herbs,sugar,,,,,,,,,
rolls/buns,sauces,,,,,,,,,
margarine,frozen fruits,,,,,,,,,
yogurt,whole milk,,,,,,,,,
canned beer,specialty chocolate,other vegetables,cream cheese ,,,,,,,
yogurt,salty snack,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
specialty chocolate,shopping bags,,,,,,,,,
onions,canned fish,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
canned fruit,whipped/sour cream,,,,,,,,,
beef,shopping bags,,,,,,,,,
beef,brown bread,,,,,,,,,
photo/film,soda,,,,,,,,,
yogurt,long life bakery product,,,,,,,,,
cream cheese ,salty snack,,,,,,,,,
pip fruit,soda,,,,,,,,,
brown bread,yogurt,,,,,,,,,
newspapers,newspapers,,,,,,,,,
citrus fruit,soda,white bread,,,,,,,,
white bread,other vegetables,whipped/sour cream,UHT-milk,margarine,,,,,,
frankfurter,whipped/sour cream,citrus fruit,whole milk,dishes,,,,,,
canned beer,frozen fish,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
sausage,soda,other vegetables,,,,,,,,
sausage,ice cream,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
shopping bags,napkins,,,,,,,,,
pet care,napkins,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
butter,dog food,,,,,,,,,
whole milk,herbs,,,,,,,,,
pasta,rolls/buns,margarine,canned fish,yogurt,,,,,,
condensed milk,berries,tea,frozen vegetables,cat food,,,,,,
hamburger meat,brown bread,,,,,,,,,
citrus fruit,sausage,whole milk,canned beer,,,,,,,
pork,long life bakery product,,,,,,,,,
sausage,processed cheese,,,,,,,,,
frankfurter,bottled beer,whipped/sour cream,margarine,,,,,,,
chicken,butter,,,,,,,,,
pork,pastry,,,,,,,,,
bottled beer,frozen dessert,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
curd,sliced cheese,frozen fish,,,,,,,,
newspapers,other vegetables,shopping bags,,,,,,,,
chicken,artif. sweetener,,,,,,,,,
onions,citrus fruit,frozen vegetables,coffee,,,,,,,
whole milk,long life bakery product,,,,,,,,,
canned beer,soda,,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
white bread,make up remover,,,,,,,,,
hamburger meat,rolls/buns,beverages,dessert,whole milk,domestic eggs,yogurt,soda,,,
other vegetables,whole milk,,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
pip fruit,bottled water,salt,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
whole milk,whole milk,,,,,,,,,
